Mask Size 0 Mask set() Leakage 0.4912255474440431
Mask Size 1 Mask {'age'} Leakage 0.48390655849303243
Mask Size 1 Mask {'capital_gain'} Leakage 0.44119241053623615
Mask Size 1 Mask {'capital_loss'} Leakage 0.4912255474440431
Mask Size 1 Mask {'class'} Leakage 0.4421302651304688
Mask Size 1 Mask {'education_num'} Leakage 0.46042813003242167
Mask Size 1 Mask {'hours_per_week'} Leakage 0.4912255474440431
Mask Size 1 Mask {'marital_status'} Leakage 0.4912255474440431
Mask Size 1 Mask {'native_country'} Leakage 0.3969281531160326
Mask Size 1 Mask {'occupation'} Leakage 0.4912255474440431
Mask Size 1 Mask {'race'} Leakage 0.4912255474440431
Mask Size 1 Mask {'relationship'} Leakage 0.3876575545157146
Mask Size 1 Mask {'sex'} Leakage 0.2726821726489277
Mask Size 2 Mask {'age', 'capital_gain'} Leakage 0.43736415669853557
Mask Size 2 Mask {'age', 'capital_loss'} Leakage 0.4839317246711282
Mask Size 2 Mask {'age', 'class'} Leakage 0.4341050146386227
Mask Size 2 Mask {'age', 'education_num'} Leakage 0.4527523729267935
Mask Size 2 Mask {'age', 'hours_per_week'} Leakage 0.48392620978159184
Mask Size 2 Mask {'age', 'marital_status'} Leakage 0.48447398909222794
Mask Size 2 Mask {'age', 'native_country'} Leakage 0.38825264639230594
Mask Size 2 Mask {'age', 'occupation'} Leakage 0.48390655849303243
Mask Size 2 Mask {'age', 'race'} Leakage 0.483913191052453
Mask Size 2 Mask {'age', 'relationship'} Leakage 0.3854242869319815
Mask Size 2 Mask {'age', 'sex'} Leakage 0.26384839770732416
Mask Size 2 Mask {'capital_loss', 'capital_gain'} Leakage 0.4509615589922883
Mask Size 2 Mask {'capital_gain', 'class'} Leakage 0.4032957695576078
Mask Size 2 Mask {'capital_gain', 'education_num'} Leakage 0.4104707532910399
Mask Size 2 Mask {'hours_per_week', 'capital_gain'} Leakage 0.45227859648556834
Mask Size 2 Mask {'capital_gain', 'marital_status'} Leakage 0.3840032729145847
Mask Size 2 Mask {'capital_gain', 'native_country'} Leakage 0.38607319087108916
Mask Size 2 Mask {'occupation', 'capital_gain'} Leakage 0.44119241053623615
Mask Size 2 Mask {'capital_gain', 'race'} Leakage 0.4419942753939222
Mask Size 2 Mask {'relationship', 'capital_gain'} Leakage 0.12413500321044513
Mask Size 2 Mask {'capital_gain', 'sex'} Leakage 0.23918590959922814
Mask Size 2 Mask {'capital_loss', 'class'} Leakage 0.4424367964455269
Mask Size 2 Mask {'capital_loss', 'education_num'} Leakage 0.46046277809509195
Mask Size 2 Mask {'hours_per_week', 'capital_loss'} Leakage 0.4912255474440431
Mask Size 2 Mask {'capital_loss', 'marital_status'} Leakage 0.4912255474440431
Mask Size 2 Mask {'capital_loss', 'native_country'} Leakage 0.40027545116798646
Mask Size 2 Mask {'occupation', 'capital_loss'} Leakage 0.4912255474440431
Mask Size 2 Mask {'capital_loss', 'race'} Leakage 0.4912255474440431
Mask Size 2 Mask {'relationship', 'capital_loss'} Leakage 0.38861661219322874
Mask Size 2 Mask {'capital_loss', 'sex'} Leakage 0.27434320827232905
Mask Size 2 Mask {'education_num', 'class'} Leakage 0.40850223977961175
Mask Size 2 Mask {'hours_per_week', 'class'} Leakage 0.44223887901283754
Mask Size 2 Mask {'marital_status', 'class'} Leakage 0.44962268479175194
Mask Size 2 Mask {'native_country', 'class'} Leakage 0.3659163513198489
Mask Size 2 Mask {'occupation', 'class'} Leakage 0.4421302651304688
Mask Size 2 Mask {'race', 'class'} Leakage 0.4422648068725308
Mask Size 2 Mask {'relationship', 'class'} Leakage 0.33767484007115856
Mask Size 2 Mask {'sex', 'class'} Leakage 0.20488153303225753
Mask Size 2 Mask {'hours_per_week', 'education_num'} Leakage 0.4604477303905746
Mask Size 2 Mask {'education_num', 'marital_status'} Leakage 0.46042813003242167
Mask Size 2 Mask {'education_num', 'native_country'} Leakage 0.36047651096201316
Mask Size 2 Mask {'occupation', 'education_num'} Leakage 0.46042813003242167
Mask Size 2 Mask {'education_num', 'race'} Leakage 0.46053677277980687
Mask Size 2 Mask {'relationship', 'education_num'} Leakage 0.35586534552810667
Mask Size 2 Mask {'education_num', 'sex'} Leakage 0.26298439687777797
Mask Size 2 Mask {'hours_per_week', 'marital_status'} Leakage 0.4912255474440431
Mask Size 2 Mask {'hours_per_week', 'native_country'} Leakage 0.3969281531160326
Mask Size 2 Mask {'occupation', 'hours_per_week'} Leakage 0.4912255474440431
Mask Size 2 Mask {'hours_per_week', 'race'} Leakage 0.4912255474440431
Mask Size 2 Mask {'relationship', 'hours_per_week'} Leakage 0.3876575545157146
Mask Size 2 Mask {'hours_per_week', 'sex'} Leakage 0.2726821726489277
Mask Size 2 Mask {'native_country', 'marital_status'} Leakage 0.3979672789901215
Mask Size 2 Mask {'occupation', 'marital_status'} Leakage 0.4912255474440431
Mask Size 2 Mask {'race', 'marital_status'} Leakage 0.4912255474440431
Mask Size 2 Mask {'relationship', 'marital_status'} Leakage 0.2727656282026826
Mask Size 2 Mask {'sex', 'marital_status'} Leakage 0.293584189251586
Mask Size 2 Mask {'occupation', 'native_country'} Leakage 0.3969281531160326
Mask Size 2 Mask {'native_country', 'race'} Leakage 0.39759034718430664
Mask Size 2 Mask {'relationship', 'native_country'} Leakage 0.2907061934465176
Mask Size 2 Mask {'sex', 'native_country'} Leakage 0.13622427654319103
Mask Size 2 Mask {'occupation', 'race'} Leakage 0.4912255474440431
Mask Size 2 Mask {'occupation', 'relationship'} Leakage 0.4074419571733059
Mask Size 2 Mask {'occupation', 'sex'} Leakage 0.27434320827232905
Mask Size 2 Mask {'relationship', 'race'} Leakage 0.3876575545157146
Mask Size 2 Mask {'sex', 'race'} Leakage 0.2726821726489277
Mask Size 2 Mask {'relationship', 'sex'} Leakage 0.2685467517834049
Mask Size 3 Mask {'capital_gain', 'native_country', 'class'} Leakage 0.35734311654816064
Mask Size 3 Mask {'occupation', 'capital_gain', 'class'} Leakage 0.4032957695576078
Mask Size 3 Mask {'capital_gain', 'race', 'class'} Leakage 0.40395728109165796
Mask Size 3 Mask {'relationship', 'capital_gain', 'class'} Leakage 0.08500529516667876
Mask Size 3 Mask {'capital_gain', 'sex', 'class'} Leakage 0.18729698577392095
Mask Size 3 Mask {'hours_per_week', 'capital_gain', 'education_num'} Leakage 0.42276872276900235
Mask Size 3 Mask {'capital_gain', 'education_num', 'marital_status'} Leakage 0.3470519761523698
Mask Size 3 Mask {'capital_gain', 'education_num', 'native_country'} Leakage 0.3513317981384697
Mask Size 3 Mask {'occupation', 'capital_gain', 'education_num'} Leakage 0.4104707532910399
Mask Size 3 Mask {'capital_gain', 'education_num', 'race'} Leakage 0.4113593546971529
Mask Size 3 Mask {'relationship', 'capital_gain', 'education_num'} Leakage 0.07767186346483013
Mask Size 3 Mask {'capital_gain', 'education_num', 'sex'} Leakage 0.20176259250354256
Mask Size 3 Mask {'hours_per_week', 'capital_gain', 'marital_status'} Leakage 0.3851049208783691
Mask Size 3 Mask {'hours_per_week', 'capital_gain', 'native_country'} Leakage 0.39251712689309803
Mask Size 3 Mask {'occupation', 'hours_per_week', 'capital_gain'} Leakage 0.45227859648556834
Mask Size 3 Mask {'hours_per_week', 'capital_gain', 'race'} Leakage 0.4445179503779447
Mask Size 3 Mask {'relationship', 'hours_per_week', 'capital_gain'} Leakage 0.1266023744803364
Mask Size 3 Mask {'hours_per_week', 'capital_gain', 'sex'} Leakage 0.2611606646513679
Mask Size 3 Mask {'capital_gain', 'native_country', 'marital_status'} Leakage 0.354443495742954
Mask Size 3 Mask {'occupation', 'capital_gain', 'marital_status'} Leakage 0.38447590331163406
Mask Size 3 Mask {'capital_gain', 'race', 'marital_status'} Leakage 0.38408263550324184
Mask Size 3 Mask {'relationship', 'capital_gain', 'marital_status'} Leakage 0.12009477174516037
Mask Size 3 Mask {'capital_gain', 'sex', 'marital_status'} Leakage 0.12715175924865507
Mask Size 3 Mask {'occupation', 'capital_gain', 'native_country'} Leakage 0.38607319087108916
Mask Size 3 Mask {'capital_gain', 'native_country', 'race'} Leakage 0.38671363536855363
Mask Size 3 Mask {'relationship', 'capital_gain', 'native_country'} Leakage 0.08249478282120437
Mask Size 3 Mask {'capital_gain', 'sex', 'native_country'} Leakage 0.16021757334575282
Mask Size 3 Mask {'occupation', 'capital_gain', 'race'} Leakage 0.4419942753939222
Mask Size 3 Mask {'occupation', 'relationship', 'capital_gain'} Leakage 0.12734599415990577
Mask Size 3 Mask {'occupation', 'capital_gain', 'sex'} Leakage 0.2476818258370127
Mask Size 3 Mask {'relationship', 'capital_gain', 'race'} Leakage 0.12431281873242361
Mask Size 3 Mask {'capital_gain', 'sex', 'race'} Leakage 0.24078352626438648
Mask Size 3 Mask {'relationship', 'capital_gain', 'sex'} Leakage 0.11281989861266561
Mask Size 3 Mask {'capital_loss', 'education_num', 'class'} Leakage 0.4088533848220852
Mask Size 3 Mask {'hours_per_week', 'capital_loss', 'class'} Leakage 0.4425888402900289
Mask Size 3 Mask {'marital_status', 'capital_loss', 'class'} Leakage 0.4499339022208182
Mask Size 3 Mask {'capital_loss', 'native_country', 'class'} Leakage 0.3688274772072211
Mask Size 3 Mask {'occupation', 'capital_loss', 'class'} Leakage 0.4424367964455269
Mask Size 3 Mask {'capital_loss', 'race', 'class'} Leakage 0.4425837956931846
Mask Size 3 Mask {'relationship', 'capital_loss', 'class'} Leakage 0.33886637733145397
Mask Size 3 Mask {'capital_loss', 'sex', 'class'} Leakage 0.20660873428452908
Mask Size 3 Mask {'hours_per_week', 'capital_loss', 'education_num'} Leakage 0.4605795322399798
Mask Size 3 Mask {'capital_loss', 'education_num', 'marital_status'} Leakage 0.46046717449097285
Mask Size 3 Mask {'capital_loss', 'education_num', 'native_country'} Leakage 0.3640964442218131
Mask Size 3 Mask {'occupation', 'capital_loss', 'education_num'} Leakage 0.46046277809509195
Mask Size 3 Mask {'capital_loss', 'education_num', 'race'} Leakage 0.46057431305073804
Mask Size 3 Mask {'relationship', 'capital_loss', 'education_num'} Leakage 0.35694922297901865
Mask Size 3 Mask {'capital_loss', 'education_num', 'sex'} Leakage 0.26904193444417124
Mask Size 3 Mask {'hours_per_week', 'capital_loss', 'marital_status'} Leakage 0.4912255474440431
Mask Size 3 Mask {'hours_per_week', 'capital_loss', 'native_country'} Leakage 0.4003854940449516
Mask Size 3 Mask {'occupation', 'hours_per_week', 'capital_loss'} Leakage 0.4912255474440431
Mask Size 3 Mask {'hours_per_week', 'capital_loss', 'race'} Leakage 0.4912255474440431
Mask Size 3 Mask {'relationship', 'hours_per_week', 'capital_loss'} Leakage 0.388648234960964
Mask Size 3 Mask {'hours_per_week', 'capital_loss', 'sex'} Leakage 0.2743979378201946
Mask Size 3 Mask {'capital_loss', 'native_country', 'marital_status'} Leakage 0.40140567875719313
Mask Size 3 Mask {'occupation', 'capital_loss', 'marital_status'} Leakage 0.4912255474440431
Mask Size 3 Mask {'capital_loss', 'race', 'marital_status'} Leakage 0.4912255474440431
Mask Size 3 Mask {'relationship', 'capital_loss', 'marital_status'} Leakage 0.2773205805139298
Mask Size 3 Mask {'capital_loss', 'sex', 'marital_status'} Leakage 0.2954017390905401
Mask Size 3 Mask {'occupation', 'capital_loss', 'native_country'} Leakage 0.40027545116798646
Mask Size 3 Mask {'capital_loss', 'native_country', 'race'} Leakage 0.3969281531160326
Mask Size 3 Mask {'relationship', 'capital_loss', 'native_country'} Leakage 0.29332823893732085
Mask Size 3 Mask {'capital_loss', 'sex', 'native_country'} Leakage 0.13929990634179068
Mask Size 3 Mask {'occupation', 'capital_loss', 'race'} Leakage 0.4912255474440431
Mask Size 3 Mask {'occupation', 'relationship', 'capital_loss'} Leakage 0.40854773304281466
Mask Size 3 Mask {'occupation', 'capital_loss', 'sex'} Leakage 0.2763063909708705
Mask Size 3 Mask {'relationship', 'capital_loss', 'race'} Leakage 0.3888002501693967
Mask Size 3 Mask {'capital_loss', 'sex', 'race'} Leakage 0.2746610306555808
Mask Size 3 Mask {'relationship', 'capital_loss', 'sex'} Leakage 0.26875872496778164
Mask Size 3 Mask {'hours_per_week', 'education_num', 'class'} Leakage 0.40864354633261335
Mask Size 3 Mask {'marital_status', 'education_num', 'class'} Leakage 0.41656353117877243
Mask Size 3 Mask {'education_num', 'native_country', 'class'} Leakage 0.3277363518446943
Mask Size 3 Mask {'occupation', 'education_num', 'class'} Leakage 0.40850223977961175
Mask Size 3 Mask {'education_num', 'race', 'class'} Leakage 0.4087757763104346
Mask Size 3 Mask {'relationship', 'education_num', 'class'} Leakage 0.3037307394223824
Mask Size 3 Mask {'education_num', 'sex', 'class'} Leakage 0.2031200208465732
Mask Size 3 Mask {'hours_per_week', 'marital_status', 'class'} Leakage 0.44997444847367385
Mask Size 3 Mask {'hours_per_week', 'native_country', 'class'} Leakage 0.3660241689011775
Mask Size 3 Mask {'occupation', 'hours_per_week', 'class'} Leakage 0.44223887901283754
Mask Size 3 Mask {'hours_per_week', 'race', 'class'} Leakage 0.4423942160336667
Mask Size 3 Mask {'relationship', 'hours_per_week', 'class'} Leakage 0.34316580671055985
Mask Size 3 Mask {'hours_per_week', 'sex', 'class'} Leakage 0.20511484371886024
Mask Size 3 Mask {'marital_status', 'native_country', 'class'} Leakage 0.3736992137362497
Mask Size 3 Mask {'occupation', 'marital_status', 'class'} Leakage 0.44996179731899055
Mask Size 3 Mask {'marital_status', 'race', 'class'} Leakage 0.45005840395272523
Mask Size 3 Mask {'relationship', 'marital_status', 'class'} Leakage 0.20477118140393302
Mask Size 3 Mask {'marital_status', 'sex', 'class'} Leakage 0.23556418532506296
Mask Size 3 Mask {'occupation', 'native_country', 'class'} Leakage 0.3659163513198489
Mask Size 3 Mask {'race', 'native_country', 'class'} Leakage 0.3665653132612138
Mask Size 3 Mask {'relationship', 'native_country', 'class'} Leakage 0.24771978536988626
Mask Size 3 Mask {'sex', 'native_country', 'class'} Leakage 0.09528336090045386
Mask Size 3 Mask {'occupation', 'race', 'class'} Leakage 0.4422648068725308
Mask Size 3 Mask {'occupation', 'relationship', 'class'} Leakage 0.3607448125310687
Mask Size 3 Mask {'occupation', 'sex', 'class'} Leakage 0.20713630861731824
Mask Size 3 Mask {'relationship', 'race', 'class'} Leakage 0.338079014575259
Mask Size 3 Mask {'race', 'sex', 'class'} Leakage 0.20517053484101533
Mask Size 3 Mask {'relationship', 'sex', 'class'} Leakage 0.20424888327760182
Mask Size 3 Mask {'hours_per_week', 'education_num', 'marital_status'} Leakage 0.4604477303905746
Mask Size 3 Mask {'hours_per_week', 'education_num', 'native_country'} Leakage 0.3605005549592929
Mask Size 3 Mask {'occupation', 'hours_per_week', 'education_num'} Leakage 0.4604477303905746
Mask Size 3 Mask {'hours_per_week', 'education_num', 'race'} Leakage 0.4605772003622952
Mask Size 3 Mask {'relationship', 'hours_per_week', 'education_num'} Leakage 0.3559678286197052
Mask Size 3 Mask {'hours_per_week', 'education_num', 'sex'} Leakage 0.2630407654481217
Mask Size 3 Mask {'education_num', 'native_country', 'marital_status'} Leakage 0.36159237632340424
Mask Size 3 Mask {'occupation', 'education_num', 'marital_status'} Leakage 0.46042813003242167
Mask Size 3 Mask {'education_num', 'race', 'marital_status'} Leakage 0.46053677277980687
Mask Size 3 Mask {'relationship', 'education_num', 'marital_status'} Leakage 0.26337047244083467
Mask Size 3 Mask {'education_num', 'sex', 'marital_status'} Leakage 0.28514646441869407
Mask Size 3 Mask {'occupation', 'education_num', 'native_country'} Leakage 0.36047651096201316
Mask Size 3 Mask {'education_num', 'native_country', 'race'} Leakage 0.3614001805389998
Mask Size 3 Mask {'relationship', 'education_num', 'native_country'} Leakage 0.2541108422191585
Mask Size 3 Mask {'education_num', 'native_country', 'sex'} Leakage 0.12669121828151153
Mask Size 3 Mask {'occupation', 'education_num', 'race'} Leakage 0.46053677277980687
Mask Size 3 Mask {'occupation', 'relationship', 'education_num'} Leakage 0.37763761509421123
Mask Size 3 Mask {'occupation', 'education_num', 'sex'} Leakage 0.2714500301289393
Mask Size 3 Mask {'relationship', 'education_num', 'race'} Leakage 0.35643330781739246
Mask Size 3 Mask {'education_num', 'sex', 'race'} Leakage 0.26329681716040976
