dataset,gamma_frac,S,seed,ci_level,nVmin,nEmin,dc_id,dc_str,m,nV,nE_best,best_head_j,best_base,weight
hospital,0.25,300000,7,0.9,200,50,34,t0.ProviderNumber String EQUAL t1.ProviderNumber String AND t0.CountyName String UNEQUAL t1.CountyName String,2,299720,71,1,0.9631899286828981,0.7131899286828981
hospital,0.25,300000,7,0.9,200,50,36,t0.HospitalName String EQUAL t1.HospitalName String AND t0.City String EQUAL t1.City String AND t0.HospitalType String UNEQUAL t1.HospitalType String,3,300000,71,2,0.9027979394907988,0.6527979394907988
hospital,0.25,300000,7,0.9,200,50,38,t0.HospitalName String EQUAL t1.HospitalName String AND t0.PhoneNumber String EQUAL t1.PhoneNumber String AND t0.HospitalOwner String UNEQUAL t1.HospitalOwner String,3,300000,71,2,0.955106349127061,0.705106349127061
hospital,0.25,300000,7,0.9,200,50,39,t0.ProviderNumber String EQUAL t1.ProviderNumber String AND t0.HospitalOwner String UNEQUAL t1.HospitalOwner String,2,300000,71,1,0.955106349127061,0.705106349127061
hospital,0.25,300000,7,0.9,200,50,41,t0.HospitalName String EQUAL t1.HospitalName String AND t0.CountyName String UNEQUAL t1.CountyName String AND t0.PhoneNumber String EQUAL t1.PhoneNumber String,3,299720,71,1,0.9631899286828981,0.7131899286828981
hospital,0.25,300000,7,0.9,200,50,42,t0.PhoneNumber String EQUAL t1.PhoneNumber String AND t0.City String UNEQUAL t1.City String,2,300000,72,1,0.963746063965032,0.713746063965032
hospital,0.25,300000,7,0.9,200,50,43,t0.ZIPCode str EQUAL t1.ZIPCode str AND t0.State String UNEQUAL t1.State String,2,300000,87,1,0.9688532307796165,0.7188532307796165
hospital,0.25,300000,7,0.9,200,50,44,t0.ProviderNumber String EQUAL t1.ProviderNumber String AND t0.State String UNEQUAL t1.State String,2,300000,71,1,0.9620918898523018,0.7120918898523018
hospital,0.25,300000,7,0.9,200,50,45,t0.ZIPCode str EQUAL t1.ZIPCode str AND t0.HospitalName String EQUAL t1.HospitalName String AND t0.PhoneNumber String UNEQUAL t1.PhoneNumber String,3,300000,71,2,0.9632818438584263,0.7132818438584263
hospital,0.25,300000,7,0.9,200,50,46,t0.ProviderNumber String EQUAL t1.ProviderNumber String AND t0.HospitalName String UNEQUAL t1.HospitalName String,2,300000,71,1,0.9632798385310887,0.7132798385310887
hospital,0.25,300000,7,0.9,200,50,49,t0.CountyName String EQUAL t1.CountyName String AND t0.PhoneNumber String EQUAL t1.PhoneNumber String AND t0.HospitalType String UNEQUAL t1.HospitalType String,3,299720,71,2,0.9028159081793126,0.6528159081793126
hospital,0.25,300000,7,0.9,200,50,50,t0.ProviderNumber String UNEQUAL t1.ProviderNumber String AND t0.ZIPCode str EQUAL t1.ZIPCode str AND t0.HospitalName String EQUAL t1.HospitalName String,3,300000,71,0,0.963281978133896,0.713281978133896
hospital,0.25,300000,7,0.9,200,50,51,t0.HospitalName String EQUAL t1.HospitalName String AND t0.PhoneNumber String EQUAL t1.PhoneNumber String AND t0.HospitalType String UNEQUAL t1.HospitalType String,3,300000,71,2,0.9027979394907988,0.6527979394907988
hospital,0.25,300000,7,0.9,200,50,52,t0.Condition String UNEQUAL t1.Condition String AND t0.MeasureName String EQUAL t1.MeasureName String,2,300000,11915,0,0.9996922400104139,0.7496922400104139
hospital,0.25,300000,7,0.9,200,50,53,t0.HospitalName String EQUAL t1.HospitalName String AND t0.EmergencyService String UNEQUAL t1.EmergencyService String AND t0.PhoneNumber String EQUAL t1.PhoneNumber String,3,300000,71,1,0.8345136510465716,0.5845136510465716
