dataset,target_cell,tau,rho,num_base_rdrs,num_surviving_rdrs,survival_rate,num_candidates,num_vertices,num_edges,min_leakage,max_leakage,mean_leakage,median_leakage,std_leakage,leakage_1.0_count,leakage_<0.5_count,compute_time
airport,home_link,0.4,0.7,38,19,0.5000,1024,11,19,0.000000,0.173141,0.120830,0.136141,0.049997,0,1024,0.10
airport,home_link,0.5,0.7,38,20,0.5263,2048,12,20,0.000000,0.173141,0.120852,0.136141,0.049984,0,2048,0.21
airport,home_link,0.6,0.7,38,22,0.5789,2048,12,22,0.000000,0.600735,0.468489,0.517748,0.132012,0,994,0.24
airport,home_link,0.7,0.7,38,23,0.6053,2048,12,23,0.000000,0.600735,0.469580,0.518366,0.131477,0,992,0.26
airport,home_link,0.8,0.7,38,24,0.6316,2048,12,24,0.000000,0.600735,0.476821,0.528209,0.129299,0,920,0.28
airport,home_link,0.9,0.7,38,26,0.6842,2048,12,26,0.000000,1.000000,0.975621,1.000000,0.104585,1910,18,0.29
airport,home_link,1.0,0.7,38,38,1.0000,2048,12,38,0.000000,1.000000,0.998452,1.000000,0.030726,2040,3,0.54
airport,home_link,0.2,0.8,38,12,0.3158,64,7,10,0.000000,0.173141,0.096749,0.106178,0.055019,0,64,0.00
airport,home_link,0.3,0.8,38,15,0.3947,128,8,13,0.000000,0.173141,0.113811,0.129434,0.052215,0,128,0.01
airport,home_link,0.4,0.8,38,19,0.5000,1024,11,19,0.000000,0.173141,0.120830,0.136141,0.049997,0,1024,0.10
airport,home_link,0.5,0.8,38,20,0.5263,2048,12,20,0.000000,0.173141,0.120852,0.136141,0.049984,0,2048,0.21
airport,home_link,0.6,0.8,38,22,0.5789,2048,12,22,0.000000,0.600735,0.468489,0.517748,0.132012,0,994,0.24
airport,home_link,0.7,0.8,38,23,0.6053,2048,12,23,0.000000,0.600735,0.469580,0.518366,0.131477,0,992,0.26
airport,home_link,0.8,0.8,38,24,0.6316,2048,12,24,0.000000,0.600735,0.476821,0.528209,0.129299,0,920,0.28
airport,home_link,0.9,0.8,38,26,0.6842,2048,12,26,0.000000,1.000000,0.967167,1.000000,0.108573,1792,18,0.29
airport,home_link,1.0,0.8,38,38,1.0000,2048,12,38,0.000000,1.000000,0.998452,1.000000,0.030726,2040,3,0.54
airport,home_link,0.2,0.9,38,12,0.3158,64,7,10,0.000000,0.173141,0.096749,0.106178,0.055019,0,64,0.00
airport,home_link,0.3,0.9,38,15,0.3947,128,8,13,0.000000,0.173141,0.113811,0.129434,0.052215,0,128,0.01
airport,home_link,0.4,0.9,38,19,0.5000,1024,11,19,0.000000,0.173141,0.120830,0.136141,0.049997,0,1024,0.10
airport,home_link,0.5,0.9,38,20,0.5263,2048,12,20,0.000000,0.173141,0.120852,0.136141,0.049984,0,2048,0.21
airport,home_link,0.6,0.9,38,22,0.5789,2048,12,22,0.000000,0.600735,0.468489,0.517748,0.132012,0,994,0.24
airport,home_link,0.7,0.9,38,23,0.6053,2048,12,23,0.000000,0.600735,0.469580,0.518366,0.131477,0,992,0.26
airport,home_link,0.8,0.9,38,24,0.6316,2048,12,24,0.000000,0.600735,0.476821,0.528209,0.129299,0,920,0.28
airport,home_link,0.9,0.9,38,26,0.6842,2048,12,26,0.000000,0.958318,0.916273,0.944929,0.095548,0,18,0.30
airport,home_link,1.0,0.9,38,38,1.0000,2048,12,38,0.000000,1.000000,0.998176,1.000000,0.031021,2021,3,0.54
airport,home_link,0.2,1.0,38,12,0.3158,64,7,10,0.000000,0.173141,0.096749,0.106178,0.055019,0,64,0.00
airport,home_link,0.3,1.0,38,15,0.3947,128,8,13,0.000000,0.173141,0.113811,0.129434,0.052215,0,128,0.01
airport,home_link,0.4,1.0,38,19,0.5000,1024,11,19,0.000000,0.173141,0.120830,0.136141,0.049997,0,1024,0.10
airport,home_link,0.5,1.0,38,20,0.5263,2048,12,20,0.000000,0.173141,0.120852,0.136141,0.049984,0,2048,0.21
airport,home_link,0.6,1.0,38,22,0.5789,2048,12,22,0.000000,0.600735,0.468489,0.517748,0.132012,0,994,0.24
airport,home_link,0.7,1.0,38,23,0.6053,2048,12,23,0.000000,0.600735,0.469580,0.518366,0.131477,0,992,0.26
airport,home_link,0.8,1.0,38,24,0.6316,2048,12,24,0.000000,0.600735,0.476821,0.528209,0.129299,0,920,0.28
airport,home_link,0.9,1.0,38,26,0.6842,2048,12,26,0.000000,0.958318,0.916273,0.944929,0.095548,0,18,0.29
airport,home_link,1.0,1.0,38,38,1.0000,2048,12,38,0.000000,0.999998,0.998015,0.999931,0.031022,1501,3,0.54
adult,education,0.2,0.2,60,0,0.0,0,0,0,,,,,,,,
adult,education,0.3,0.2,60,3,0.0500,128,8,3,0.000000,1.000000,0.629887,1.000000,0.423298,72,56,0.00
adult,education,0.4,0.2,60,18,0.3000,512,10,18,0.000000,1.000000,0.976572,1.000000,0.130935,495,15,0.09
adult,education,0.5,0.2,60,30,0.5000,1024,11,30,0.000000,1.000000,0.998229,1.000000,0.040254,1022,2,0.35
adult,education,0.6,0.2,60,42,0.7000,1024,11,42,0.000000,1.000000,0.999023,1.000000,0.031235,1023,1,0.53
adult,education,0.7,0.2,60,60,1.0000,1024,11,60,0.000000,1.000000,0.999023,1.000000,0.031235,1023,1,0.88
adult,education,0.8,0.2,60,60,1.0000,1024,11,60,0.000000,1.000000,0.999023,1.000000,0.031235,1023,1,0.88
adult,education,0.9,0.2,60,60,1.0000,1024,11,60,0.000000,1.000000,0.999023,1.000000,0.031235,1023,1,0.89
adult,education,1.0,0.2,60,60,1.0000,1024,11,60,0.000000,1.000000,0.999023,1.000000,0.031235,1023,1,0.89
adult,education,0.2,0.3,60,0,0.0,0,0,0,,,,,,,,
adult,education,0.3,0.3,60,3,0.0500,128,8,3,0.000000,0.488040,0.256672,0.282108,0.118167,0,128,0.00
adult,education,0.4,0.3,60,18,0.3000,512,10,18,0.000000,1.000000,0.952921,1.000000,0.154362,456,17,0.09
adult,education,0.5,0.3,60,30,0.5000,1024,11,30,0.000000,1.000000,0.995846,1.000000,0.055666,1018,5,0.35
adult,education,0.6,0.3,60,42,0.7000,1024,11,42,0.000000,1.000000,0.998029,1.000000,0.039092,1021,2,0.54
adult,education,0.7,0.3,60,60,1.0000,1024,11,60,0.000000,1.000000,0.999023,1.000000,0.031235,1023,1,0.88
adult,education,0.8,0.3,60,60,1.0000,1024,11,60,0.000000,1.000000,0.999023,1.000000,0.031235,1023,1,0.88
adult,education,0.9,0.3,60,60,1.0000,1024,11,60,0.000000,1.000000,0.999023,1.000000,0.031235,1023,1,0.89
adult,education,1.0,0.3,60,60,1.0000,1024,11,60,0.000000,1.000000,0.999023,1.000000,0.031235,1023,1,0.90
adult,education,0.2,0.4,60,0,0.0,0,0,0,,,,,,,,
adult,education,0.3,0.4,60,3,0.0500,128,8,3,0.000000,0.488040,0.256672,0.282108,0.118167,0,128,0.00
adult,education,0.4,0.4,60,18,0.3000,512,10,18,0.000000,0.834307,0.790205,0.831381,0.117436,0,21,0.10
adult,education,0.5,0.4,60,30,0.5000,1024,11,30,0.000000,1.000000,0.993333,1.000000,0.063754,1011,6,0.36
adult,education,0.6,0.4,60,42,0.7000,1024,11,42,0.000000,1.000000,0.997705,1.000000,0.040432,1020,2,0.54
adult,education,0.7,0.4,60,60,1.0000,1024,11,60,0.000000,1.000000,0.998492,1.000000,0.033837,1021,1,0.89
adult,education,0.8,0.4,60,60,1.0000,1024,11,60,0.000000,1.000000,0.998492,1.000000,0.033837,1021,1,0.89
adult,education,0.9,0.4,60,60,1.0000,1024,11,60,0.000000,1.000000,0.998492,1.000000,0.033837,1021,1,0.91
adult,education,1.0,0.4,60,60,1.0000,1024,11,60,0.000000,1.000000,0.998492,1.000000,0.033837,1021,1,0.91
adult,education,0.2,0.5,60,0,0.0,0,0,0,,,,,,,,
adult,education,0.3,0.5,60,3,0.0500,128,8,3,0.000000,0.488040,0.256672,0.282108,0.118167,0,128,0.00
adult,education,0.4,0.5,60,18,0.3000,512,10,18,0.000000,0.834307,0.790205,0.831381,0.117436,0,21,0.09
adult,education,0.5,0.5,60,30,0.5000,1024,11,30,0.000000,0.915357,0.900680,0.915297,0.063237,0,6,0.36
adult,education,0.6,0.5,60,42,0.7000,1024,11,42,0.000000,1.000000,0.997056,1.000000,0.041765,1015,2,0.55
adult,education,0.7,0.5,60,60,1.0000,1024,11,60,0.000000,1.000000,0.998393,1.000000,0.033979,1020,1,0.90
adult,education,0.8,0.5,60,60,1.0000,1024,11,60,0.000000,1.000000,0.998393,1.000000,0.033979,1020,1,0.89
adult,education,0.9,0.5,60,60,1.0000,1024,11,60,0.000000,1.000000,0.998393,1.000000,0.033979,1020,1,0.90
adult,education,1.0,0.5,60,60,1.0000,1024,11,60,0.000000,1.000000,0.998393,1.000000,0.033979,1020,1,0.90
adult,education,0.2,0.6,60,0,0.0,0,0,0,,,,,,,,
adult,education,0.3,0.6,60,3,0.0500,128,8,3,0.000000,0.488040,0.256672,0.282108,0.118167,0,128,0.00
adult,education,0.4,0.6,60,18,0.3000,512,10,18,0.000000,0.834307,0.790205,0.831381,0.117436,0,21,0.09
adult,education,0.5,0.6,60,30,0.5000,1024,11,30,0.000000,0.915357,0.900680,0.915297,0.063237,0,6,0.36
adult,education,0.6,0.6,60,42,0.7000,1024,11,42,0.000000,0.992165,0.988133,0.992165,0.041770,0,2,0.55
adult,education,0.7,0.6,60,60,1.0000,1024,11,60,0.000000,1.000000,0.998332,1.000000,0.034000,1017,1,0.89
adult,education,0.8,0.6,60,60,1.0000,1024,11,60,0.000000,1.000000,0.998332,1.000000,0.034000,1017,1,0.90
adult,education,0.9,0.6,60,60,1.0000,1024,11,60,0.000000,1.000000,0.998332,1.000000,0.034000,1017,1,0.91
adult,education,1.0,0.6,60,60,1.0000,1024,11,60,0.000000,1.000000,0.998332,1.000000,0.034000,1017,1,0.89
adult,education,0.2,0.7,60,0,0.0,0,0,0,,,,,,,,
adult,education,0.3,0.7,60,3,0.0500,128,8,3,0.000000,0.488040,0.256672,0.282108,0.118167,0,128,0.00
adult,education,0.4,0.7,60,18,0.3000,512,10,18,0.000000,0.834307,0.790205,0.831381,0.117436,0,21,0.09
adult,education,0.5,0.7,60,30,0.5000,1024,11,30,0.000000,0.915357,0.900680,0.915297,0.063237,0,6,0.35
adult,education,0.6,0.7,60,42,0.7000,1024,11,42,0.000000,0.992165,0.988133,0.992165,0.041770,0,2,0.54
adult,education,0.7,0.7,60,60,1.0000,1024,11,60,0.000000,0.999880,0.998134,0.999880,0.034009,0,1,0.90
adult,education,0.8,0.7,60,60,1.0000,1024,11,60,0.000000,0.999880,0.998134,0.999880,0.034009,0,1,0.90
adult,education,0.9,0.7,60,60,1.0000,1024,11,60,0.000000,0.999880,0.998134,0.999880,0.034009,0,1,0.90
adult,education,1.0,0.7,60,60,1.0000,1024,11,60,0.000000,0.999880,0.998134,0.999880,0.034009,0,1,0.91
adult,education,0.2,0.8,60,0,0.0,0,0,0,,,,,,,,
adult,education,0.3,0.8,60,3,0.0500,128,8,3,0.000000,0.488040,0.256672,0.282108,0.118167,0,128,0.00
adult,education,0.4,0.8,60,18,0.3000,512,10,18,0.000000,0.834307,0.790205,0.831381,0.117436,0,21,0.09
adult,education,0.5,0.8,60,30,0.5000,1024,11,30,0.000000,0.915357,0.900680,0.915297,0.063237,0,6,0.36
adult,education,0.6,0.8,60,42,0.7000,1024,11,42,0.000000,0.992165,0.988133,0.992165,0.041770,0,2,0.55
adult,education,0.7,0.8,60,60,1.0000,1024,11,60,0.000000,0.999880,0.998134,0.999880,0.034009,0,1,0.91
adult,education,0.8,0.8,60,60,1.0000,1024,11,60,0.000000,0.999880,0.998134,0.999880,0.034009,0,1,0.91
adult,education,0.9,0.8,60,60,1.0000,1024,11,60,0.000000,0.999880,0.998134,0.999880,0.034009,0,1,0.93
adult,education,1.0,0.8,60,60,1.0000,1024,11,60,0.000000,0.999880,0.998134,0.999880,0.034009,0,1,0.96
adult,education,0.2,0.9,60,0,0.0,0,0,0,,,,,,,,
adult,education,0.3,0.9,60,3,0.0500,128,8,3,0.000000,0.488040,0.256672,0.282108,0.118167,0,128,0.00
adult,education,0.4,0.9,60,18,0.3000,512,10,18,0.000000,0.834307,0.790205,0.831381,0.117436,0,21,0.09
adult,education,0.5,0.9,60,30,0.5000,1024,11,30,0.000000,0.915357,0.900680,0.915297,0.063237,0,6,0.42
adult,education,0.6,0.9,60,42,0.7000,1024,11,42,0.000000,0.992165,0.988133,0.992165,0.041770,0,2,0.55
adult,education,0.7,0.9,60,60,1.0000,1024,11,60,0.000000,0.999880,0.998134,0.999880,0.034009,0,1,0.90
adult,education,0.8,0.9,60,60,1.0000,1024,11,60,0.000000,0.999880,0.998134,0.999880,0.034009,0,1,0.91
adult,education,0.9,0.9,60,60,1.0000,1024,11,60,0.000000,0.999880,0.998134,0.999880,0.034009,0,1,0.91
adult,education,1.0,0.9,60,60,1.0000,1024,11,60,0.000000,0.999880,0.998134,0.999880,0.034009,0,1,1.11
adult,education,0.2,1.0,60,0,0.0,0,0,0,,,,,,,,
adult,education,0.3,1.0,60,3,0.0500,128,8,3,0.000000,0.488040,0.256672,0.282108,0.118167,0,128,0.00
adult,education,0.4,1.0,60,18,0.3000,512,10,18,0.000000,0.834307,0.790205,0.831381,0.117436,0,21,0.12
adult,education,0.5,1.0,60,30,0.5000,1024,11,30,0.000000,0.915357,0.900680,0.915297,0.063237,0,6,0.37
adult,education,0.6,1.0,60,42,0.7000,1024,11,42,0.000000,0.992165,0.988133,0.992165,0.041770,0,2,0.65
adult,education,0.7,1.0,60,60,1.0000,1024,11,60,0.000000,0.999880,0.998134,0.999880,0.034009,0,1,0.95
adult,education,0.8,1.0,60,60,1.0000,1024,11,60,0.000000,0.999880,0.998134,0.999880,0.034009,0,1,1.00
adult,education,0.9,1.0,60,60,1.0000,1024,11,60,0.000000,0.999880,0.998134,0.999880,0.034009,0,1,0.92
adult,education,1.0,1.0,60,60,1.0000,1024,11,60,0.000000,0.999880,0.998134,0.999880,0.034009,0,1,0.91
flight,OriginCityMarketId,0.2,0.2,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.3,0.2,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.4,0.2,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.5,0.2,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.6,0.2,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.7,0.2,60,35,0.5833,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0.00
flight,OriginCityMarketId,0.8,0.2,60,47,0.7833,2048,12,47,0.000000,1.000000,0.999512,1.000000,0.022092,2047,1,1.14
flight,OriginCityMarketId,0.9,0.2,60,51,0.8500,2048,12,51,0.000000,1.000000,0.999512,1.000000,0.022092,2047,1,1.25
flight,OriginCityMarketId,1.0,0.2,60,60,1.0000,2048,12,58,0.000000,1.000000,0.999512,1.000000,0.022092,2047,1,1.40
flight,OriginCityMarketId,0.2,0.3,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.3,0.3,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.4,0.3,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.5,0.3,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.6,0.3,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.7,0.3,60,35,0.5833,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0.00
flight,OriginCityMarketId,0.8,0.3,60,47,0.7833,2048,12,47,0.000000,1.000000,0.999512,1.000000,0.022092,2047,1,1.14
flight,OriginCityMarketId,0.9,0.3,60,51,0.8500,2048,12,51,0.000000,1.000000,0.999512,1.000000,0.022092,2047,1,1.25
flight,OriginCityMarketId,1.0,0.3,60,60,1.0000,2048,12,58,0.000000,1.000000,0.999512,1.000000,0.022092,2047,1,1.41
flight,OriginCityMarketId,0.2,0.4,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.3,0.4,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.4,0.4,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.5,0.4,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.6,0.4,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.7,0.4,60,35,0.5833,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0.00
flight,OriginCityMarketId,0.8,0.4,60,47,0.7833,2048,12,47,0.000000,1.000000,0.999512,1.000000,0.022092,2047,1,1.15
flight,OriginCityMarketId,0.9,0.4,60,51,0.8500,2048,12,51,0.000000,1.000000,0.999512,1.000000,0.022092,2047,1,1.25
flight,OriginCityMarketId,1.0,0.4,60,60,1.0000,2048,12,58,0.000000,1.000000,0.999512,1.000000,0.022092,2047,1,1.43
flight,OriginCityMarketId,0.2,0.5,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.3,0.5,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.4,0.5,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.5,0.5,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.6,0.5,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.7,0.5,60,35,0.5833,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0.00
flight,OriginCityMarketId,0.8,0.5,60,47,0.7833,2048,12,47,0.000000,1.000000,0.999512,1.000000,0.022092,2047,1,1.14
flight,OriginCityMarketId,0.9,0.5,60,51,0.8500,2048,12,51,0.000000,1.000000,0.999512,1.000000,0.022092,2047,1,1.25
flight,OriginCityMarketId,1.0,0.5,60,60,1.0000,2048,12,58,0.000000,1.000000,0.999512,1.000000,0.022092,2047,1,1.40
flight,OriginCityMarketId,0.2,0.6,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.3,0.6,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.4,0.6,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.5,0.6,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.6,0.6,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.7,0.6,60,35,0.5833,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0.00
flight,OriginCityMarketId,0.8,0.6,60,47,0.7833,2048,12,47,0.000000,1.000000,0.999512,1.000000,0.022092,2047,1,1.15
flight,OriginCityMarketId,0.9,0.6,60,51,0.8500,2048,12,51,0.000000,1.000000,0.999512,1.000000,0.022092,2047,1,1.25
flight,OriginCityMarketId,1.0,0.6,60,60,1.0000,2048,12,58,0.000000,1.000000,0.999512,1.000000,0.022092,2047,1,1.39
flight,OriginCityMarketId,0.2,0.7,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.3,0.7,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.4,0.7,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.5,0.7,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.6,0.7,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.7,0.7,60,35,0.5833,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0.00
flight,OriginCityMarketId,0.8,0.7,60,47,0.7833,2048,12,47,0.000000,1.000000,0.999511,1.000000,0.022092,2046,1,1.14
flight,OriginCityMarketId,0.9,0.7,60,51,0.8500,2048,12,51,0.000000,1.000000,0.999512,1.000000,0.022092,2047,1,1.25
flight,OriginCityMarketId,1.0,0.7,60,60,1.0000,2048,12,58,0.000000,1.000000,0.999512,1.000000,0.022092,2047,1,1.41
flight,OriginCityMarketId,0.2,0.8,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.3,0.8,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.4,0.8,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.5,0.8,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.6,0.8,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.7,0.8,60,35,0.5833,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0.00
flight,OriginCityMarketId,0.8,0.8,60,47,0.7833,2048,12,47,0.000000,1.000000,0.999440,1.000000,0.022130,2033,1,1.15
flight,OriginCityMarketId,0.9,0.8,60,51,0.8500,2048,12,51,0.000000,1.000000,0.999512,1.000000,0.022092,2047,1,1.26
flight,OriginCityMarketId,1.0,0.8,60,60,1.0000,2048,12,58,0.000000,1.000000,0.999512,1.000000,0.022092,2047,1,1.41
flight,OriginCityMarketId,0.2,0.9,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.3,0.9,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.4,0.9,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.5,0.9,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.6,0.9,60,0,0.0,0,0,0,,,,,,,,
flight,OriginCityMarketId,0.7,0.9,60,35,0.5833,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0.00
