-----hospital-----
attribute,time,row,cells
state,0.4466986656188965,88196,13
marital_status,0.5569751262664795,54113,16
marital_status,0.5474429130554199,59007,16
area_code,0.3097810745239258,99698,9
lname,0.07481122016906738,88383,2
married_exemp,0.6457300186157227,22483,19
has_child,0.2120828628540039,90990,6
gender,0.0419001579284668,79534,1
phone,0.21143889427185059,55712,6
lname,0.04251980781555176,5151,1
area_code,0.31124281883239746,65357,9
rate,0.13942575454711914,90820,4
city,0.10948038101196289,56030,3
gender,0.04071784019470215,9189,1
city,0.10939502716064453,14310,3
state,0.4481840133666992,68108,13
zip,0.3422069549560547,96530,10
fname,0.1079561710357666,46374,3
state,0.4439558982849121,10138,13
marital_status,0.5453619956970215,3627,16
area_code,0.31197524070739746,14845,9
city,0.10363221168518066,861,3
state,0.4443390369415283,76635,13
married_exemp,0.640186071395874,50796,19
rate,0.1420762538909912,67943,4
lname,0.07388997077941895,56626,2
child_exemp,0.20983290672302246,69909,6
single_exemp,0.7156202793121338,14507,21
has_child,0.20978212356567383,26877,6
phone,0.21021509170532227,66959,6
city,0.10799884796142578,90706,3
fname,0.10737800598144531,89791,3
salary,0.14245891571044922,89441,4
married_exemp,0.6478021144866943,34796,19
single_exemp,0.7169990539550781,69008,21
salary,0.1422109603881836,72771,4
salary,0.1422429084777832,65797,4
rate,0.14312529563903809,62040,4
salary,0.14360690116882324,5316,4
zip,0.3428952693939209,44749,10
salary,0.14107894897460938,94236,4
rate,0.14201617240905762,61073,4
rate,0.1444380283355713,32918,4
salary,0.14121198654174805,55318,4
-----ncvoter-----
attribute,time,row,cells
age,0.012233972549438477,300,9
voter_reg_num,0.014317989349365234,169,17
register_date,0.008839845657348633,896,5
gender,0.006746768951416016,831,3
full_phone_num,0.005734920501708984,715,3
name_prefix,0.006089925765991211,925,3
age,0.010219097137451172,880,9
ethnic,0.0051310062408447266,711,2
full_phone_num,0.005457878112792969,869,3
last_name,0.007317066192626953,432,6
birth_place,0.0060002803802490234,743,3
state,0.0036618709564208984,443,1
ethnic,0.004739999771118164,770,2
voter_reg_num,0.011855125427246094,453,17
zip_code,0.005927085876464844,667,5
middle_name,0.006742000579833984,180,4
street_address,0.008461952209472656,76,11
ethnic,0.003677845001220703,681,2
voter_id,0.011291027069091797,160,17
voter_id,0.012449026107788086,50,17
name_prefix,0.007461071014404297,493,3
street_address,0.009943008422851562,145,11
full_phone_num,0.005507230758666992,580,3
voter_reg_num,0.011465787887573242,721,17
voter_reg_num,0.01231074333190918,851,17
birth_place,0.005441188812255859,753,3
birth_place,0.003824949264526367,988,3
middle_name,0.004814863204956055,136,4
age,0.011455059051513672,502,9
middle_name,0.0072438716888427734,927,4
voter_id,0.01248311996459961,280,17
voter_reg_num,0.013988971710205078,602,17
zip_code,0.00701594352722168,966,5
name_prefix,0.004492998123168945,934,3
race,0.003773212432861328,60,2
birth_place,0.0044329166412353516,915,3
voter_id,0.013638973236083984,229,17
age,0.008279085159301758,99,9
first_name,0.005697965621948242,60,4
gender,0.003932952880859375,600,3
name_prefix,0.005235195159912109,867,3
voter_reg_num,0.010885000228881836,66,17
name_prefix,0.004218101501464844,899,3
city,0.006370067596435547,725,5
register_date,0.0067827701568603516,997,5
state,0.003319978713989258,499,1
last_name,0.005522966384887695,736,6
middle_name,0.00481104850769043,992,4
gender,0.005494117736816406,414,3
city,0.004815101623535156,678,5
street_address,0.0076961517333984375,89,11
voter_reg_num,0.011221885681152344,693,17
voter_id,0.012362003326416016,559,17
name_prefix,0.005220651626586914,833,3
state,0.005227804183959961,562,1
birth_place,0.006823301315307617,691,3
age,0.009887933731079102,840,9
voter_reg_num,0.01346898078918457,571,17
voter_id,0.013974905014038086,307,17
race,0.006056785583496094,560,2
register_date,0.0066449642181396484,772,5
voter_reg_num,0.01377415657043457,950,17
race,0.0062792301177978516,565,1
city,0.005955219268798828,139,5
gender,0.004961967468261719,889,3
age,0.007664203643798828,371,9
street_address,0.008395910263061523,367,11
middle_name,0.005831003189086914,959,4
age,0.009068012237548828,65,9
birth_place,0.004038810729980469,815,3
age,0.00695490837097168,36,9
street_address,0.010117053985595703,17,11
first_name,0.005090951919555664,592,4
register_date,0.005768775939941406,920,5
gender,0.006438255310058594,426,3
street_address,0.009012937545776367,627,11
voter_reg_num,0.011974096298217773,643,17
download_month,0.005508899688720703,828,3
voter_id,0.011553049087524414,85,17
ethnic,0.00586700439453125,379,2
last_name,0.006453990936279297,122,6
voter_reg_num,0.011743783950805664,749,17
race,0.0036230087280273438,171,2
voter_id,0.012115955352783203,47,17
first_name,0.007103919982910156,621,4
zip_code,0.0067138671875,387,5
voter_reg_num,0.012483835220336914,725,17
city,0.006295919418334961,588,5
name_suffix,0.0041658878326416016,343,3
age,0.007961034774780273,602,9
name_suffix,0.0043942928314208984,800,3
register_date,0.005590200424194336,584,5
last_name,0.0075969696044921875,436,6
ethnic,0.00356292724609375,195,1
state,0.003358125686645508,431,1
name_prefix,0.00433802604675293,505,3
name_prefix,0.0066030025482177734,785,3
race,0.0036411285400390625,423,2
ethnic,0.00304412841796875,735,1
middle_name,0.004523038864135742,35,4
